Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,No sampling,No sensitive,26,17,207,51,0.6046511627906976,0.33766233766233766,0.8015132189239332,0.3061224489795918
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,No sampling,Sensitive threshold,51,53,171,26,0.49038461538461536,0.6623376623376623,0.7717706400742115,0.38180163785259313
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,No sampling,Sensitive learning,76,170,54,1,0.3089430894308943,0.987012987012987,0.6140422077922078,0.13259407809366516
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Oversampling,No sensitive,42,36,188,35,0.5384615384615384,0.5454545454545454,0.7137639146567718,0.3831076985249545
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Oversampling,Sensitive threshold,69,204,20,8,0.25274725274725274,0.8961038961038961,0.6352620593692022,-0.00796107916850951
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Oversampling,Sensitive learning,77,219,5,0,0.26013513513513514,1.0,0.5111607142857143,0.011546132045764677
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Undersampling,No sensitive,36,28,196,41,0.5625,0.4675324675324675,0.7817717996289425,0.362620837808808
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Undersampling,Sensitive threshold,34,20,204,43,0.6296296296296297,0.44155844155844154,0.814094387755102,0.39055118110236203
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Undersampling,Sensitive learning,77,217,7,0,0.2619047619047619,1.0,0.515625,0.016236162361623584
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Smote,No sensitive,35,28,196,42,0.5555555555555556,0.45454545454545453,0.7440572820037106,0.35045317220543815
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Smote,Sensitive threshold,31,30,194,46,0.5081967213114754,0.4025974025974026,0.7612476808905381,0.28832752613240414
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Smote,Sensitive learning,77,217,7,0,0.2619047619047619,1.0,0.515625,0.016236162361623584
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,No sampling,No sensitive,31,20,204,46,0.6078431372549019,0.4025974025974026,0.7963821892393321,0.35235052487448654
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,No sampling,Sensitive threshold,40,58,166,37,0.40816326530612246,0.5194805194805194,0.6995883580705009,0.2391506798286461
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,No sampling,Sensitive learning,77,199,25,0,0.27898550724637683,1.0,0.5558035714285714,0.06039310420555614
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Oversampling,No sensitive,30,25,199,47,0.5454545454545454,0.38961038961038963,0.7727852504638218,0.30676220331392745
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Oversampling,Sensitive threshold,57,112,112,20,0.33727810650887574,0.7402597402597403,0.6700776901669759,0.1725947521865889
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Oversampling,Sensitive learning,61,93,131,16,0.3961038961038961,0.7922077922077922,0.6885146103896104,0.28388082505729556
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Undersampling,No sensitive,35,23,201,42,0.603448275862069,0.45454545454545453,0.8019190630797773,0.38286597482888063
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Undersampling,Sensitive threshold,31,20,204,46,0.6078431372549019,0.4025974025974026,0.7543193413729128,0.35235052487448654
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Undersampling,Sensitive learning,76,165,59,1,0.3153526970954357,0.987012987012987,0.625202922077922,0.14739608217869085
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Smote,No sensitive,56,106,118,21,0.345679012345679,0.7272727272727273,0.6809485157699443,0.1865037985997319
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Smote,Sensitive threshold,34,32,192,43,0.5151515151515151,0.44155844155844154,0.7089517625231911,0.3133915265062806
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Smote,Sensitive learning,77,209,15,0,0.2692307692307692,1.0,0.5334821428571429,0.03541912632821726
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,No sampling,No sensitive,47,61,163,30,0.4351851851851852,0.6103896103896104,0.7478548237476809,0.29861982434127987
