Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,Feature_Selection,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Smote,Wrapper with Best First,53,88,136,24,0.375886524822695,0.6883116883116883,0.6812384044526901,0.23214285714285723
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No sampling,No selection,29,9,215,48,0.7631578947368421,0.37662337662337664,0.7352736549165121,0.403504502311998
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Oversampling,No selection,25,9,215,52,0.7352941176470589,0.3246753246753247,0.6620767625231911,0.3483229813664596
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Undersampling,No selection,27,9,215,50,0.75,0.35064935064935066,0.6647147495361782,0.3761986722399805
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Smote,No selection,28,10,214,49,0.7368421052631579,0.36363636363636365,0.6882247217068646,0.38257483572645434
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No sampling,CFS with Best First,31,11,213,46,0.7380952380952381,0.4025974025974026,0.7038497217068646,0.41545432864297627
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Oversampling,CFS with Best First,31,12,212,46,0.7209302325581395,0.4025974025974026,0.7167207792207793,0.40816326530612235
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Undersampling,CFS with Best First,30,9,215,47,0.7692307692307693,0.38961038961038963,0.662917439703154,0.41694915254237286
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Smote,CFS with Best First,32,13,211,45,0.7111111111111111,0.4155844155844156,0.6882537105751392,0.4140037593984962
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No sampling,Wrapper with Best First,36,17,207,41,0.6792452830188679,0.4675324675324675,0.7101982838589982,0.43625678119348993
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Oversampling,Wrapper with Best First,34,17,207,43,0.6666666666666666,0.44155844155844154,0.6704545454545454,0.4112277498858969
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Undersampling,Wrapper with Best First,36,18,206,41,0.6666666666666666,0.4675324675324675,0.6701936456400742,0.4292463442069742
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Smote,Wrapper with Best First,38,22,202,39,0.6333333333333333,0.4935064935064935,0.6910946196660482,0.4261649529643404
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No sampling,No selection,13,110,307,9,0.10569105691056911,0.5909090909090909,0.7187159363418356,0.10305101042185337
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,Oversampling,No selection,16,147,270,6,0.09815950920245399,0.7272727272727273,0.7174078918683235,0.0928649568493983
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,Undersampling,No selection,15,148,269,7,0.09202453987730061,0.6818181818181818,0.7076520601700458,0.081006982429129
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,Smote,No selection,15,153,264,7,0.08928571428571429,0.6818181818181818,0.6728798779158491,0.07600831382041107
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No sampling,CFS with Best First,12,116,301,10,0.09375,0.5454545454545454,0.6877588838020493,0.08143744395363503
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,Oversampling,CFS with Best First,13,154,263,9,0.07784431137724551,0.5909090909090909,0.6674296926095488,0.05376671118575037
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,Undersampling,CFS with Best First,14,152,265,8,0.08433734939759036,0.6363636363636364,0.6981687377370831,0.06630509916520456
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,Smote,CFS with Best First,16,158,259,6,0.09195402298850575,0.7272727272727273,0.7157728362764334,0.08154309333061191
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,No sampling,Wrapper with Best First,11,101,316,11,0.09821428571428571,0.5,0.7007303248310442,0.08775835838064489
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,Oversampling,Wrapper with Best First,15,145,272,7,0.09375,0.6818181818181818,0.7034009156311315,0.08413626506354839
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,Undersampling,Wrapper with Best First,14,138,279,8,0.09210526315789473,0.6363636363636364,0.7044364508393285,0.08040402881000876
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Random Forest,Smote,Wrapper with Best First,15,151,266,7,0.09036144578313253,0.6818181818181818,0.684434270765206,0.0779762854256395
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,No sampling,No selection,16,113,304,6,0.12403100775193798,0.7272727272727273,0.7448223239590146,0.13812218500981643
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,Oversampling,No selection,20,172,245,2,0.10416666666666667,0.9090909090909091,0.7417702201874864,0.1065755924115184
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,Undersampling,No selection,19,165,252,3,0.10326086956521739,0.8636363636363636,0.775452365380423,0.10427749034467686
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,Smote,No selection,18,159,258,4,0.1016949152542373,0.8181818181818182,0.7644429910616961,0.10073768740653255
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,No sampling,CFS with Best First,9,123,294,13,0.06818181818181818,0.4090909090909091,0.5910725964682799,0.03388459173436028
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,Oversampling,CFS with Best First,11,152,265,11,0.06748466257668712,0.5,0.5700348811859604,0.033575084748051834
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,Undersampling,CFS with Best First,11,157,260,11,0.06547619047619048,0.5,0.5945062132112492,0.02980872951143166
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,Smote,CFS with Best First,12,153,264,10,0.07272727272727272,0.5454545454545454,0.6144538914323087,0.04377747785068086
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,No sampling,Wrapper with Best First,15,112,305,7,0.11811023622047244,0.6818181818181818,0.7260736865053412,0.12674055129298104
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,Oversampling,Wrapper with Best First,16,167,250,6,0.08743169398907104,0.7272727272727273,0.69647918029213,0.07317281524962467
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,Undersampling,Wrapper with Best First,16,149,268,6,0.09696969696969697,0.7272727272727273,0.7131567473294091,0.09070864458193574
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,IBk,Smote,Wrapper with Best First,15,150,267,7,0.09090909090909091,0.6818181818181818,0.6775670372792675,0.07897585289912203
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,No sampling,No selection,8,59,358,14,0.11940298507462686,0.36363636363636365,0.7389906256812732,0.11283669684134806
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,Oversampling,No selection,8,53,364,14,0.13114754098360656,0.36363636363636365,0.736592544146501,0.1285811631558681
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,Undersampling,No selection,8,50,367,14,0.13793103448275862,0.36363636363636365,0.7302158273381295,0.1373126995824124
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,Smote,No selection,8,60,357,14,0.11764705882352941,0.36363636363636365,0.7428057553956835,0.11041130401445821
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,No sampling,CFS with Best First,10,66,351,12,0.13157894736842105,0.45454545454545453,0.7056899934597777,0.1370028731286855
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,Oversampling,CFS with Best First,10,66,351,12,0.13157894736842105,0.45454545454545453,0.7019293655984303,0.1370028731286855
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,Undersampling,CFS with Best First,10,65,352,12,0.13333333333333333,0.45454545454545453,0.6820361892304339,0.13950054731054126
