Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Oversampling,Sensitive threshold,46,70,154,31,0.39655172413793105,0.5974025974025974,0.726461038961039,0.24430137463024187
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Oversampling,Sensitive learning,36,34,190,41,0.5142857142857142,0.4675324675324675,0.6578733766233766,0.3254549257477516
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Undersampling,No sensitive,54,87,137,23,0.3829787234042553,0.7012987012987013,0.7464923469387755,0.24585459183673486
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Undersampling,Sensitive threshold,52,83,141,25,0.3851851851851852,0.6753246753246753,0.73367926716141,0.24438659290595505
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Undersampling,Sensitive learning,36,40,184,41,0.47368421052631576,0.4675324675324675,0.6444805194805194,0.2901976767882618
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Smote,No sensitive,51,89,135,26,0.36428571428571427,0.6623376623376623,0.7269538497217068,0.2089265717485203
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Smote,Sensitive threshold,36,19,205,41,0.6545454545454545,0.4675324675324675,0.761392625231911,0.42230183609493965
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Smote,Sensitive learning,36,34,190,41,0.5142857142857142,0.4675324675324675,0.6578733766233766,0.3254549257477516
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,No sampling,No sensitive,31,24,200,46,0.5636363636363636,0.4025974025974026,0.6481621057513914,0.3260188087774296
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,No sampling,Sensitive threshold,31,24,200,46,0.5636363636363636,0.4025974025974026,0.6481621057513914,0.3260188087774296
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,No sampling,Sensitive learning,31,24,200,46,0.5636363636363636,0.4025974025974026,0.6477272727272727,0.3260188087774296
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,Oversampling,No sensitive,31,29,195,46,0.5166666666666667,0.4025974025974026,0.5743854359925789,0.29446510610369736
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,Oversampling,Sensitive threshold,16,10,214,61,0.6153846153846154,0.2077922077922078,0.5329023654916512,0.2084521648949962
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,Oversampling,Sensitive learning,31,29,195,46,0.5166666666666667,0.4025974025974026,0.6365665584415584,0.29446510610369736
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,Undersampling,No sensitive,35,29,195,42,0.546875,0.45454545454545453,0.613056586270872,0.3441460794844255
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,Undersampling,Sensitive threshold,35,30,194,42,0.5384615384615384,0.45454545454545453,0.6625405844155844,0.33789563729683486
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,Undersampling,Sensitive learning,35,29,195,42,0.546875,0.45454545454545453,0.6625405844155844,0.3441460794844255
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,Smote,No sensitive,36,27,197,41,0.5714285714285714,0.4675324675324675,0.6529452690166976,0.3690116529995683
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,Smote,Sensitive threshold,13,12,212,64,0.52,0.16883116883116883,0.6073167903525046,0.14807090719499472
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,No selection,Smote,Sensitive learning,36,27,197,41,0.5714285714285714,0.4675324675324675,0.6734983766233766,0.3690116529995683
