Version ID,Version Name,File,LOC,LOCAdded,AVGLocAdded,MaxLocAdded,LocTouched,Churn,maxChurn,avgChurn,NumAuthors,NunRev,Bugginess
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,137,162,32,75,170,154,75,30,3,5,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,355,489,40,209,585,393,209,32,3,12,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,114,139,34,75,146,132,75,33,3,4,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,468,556,61,521,579,533,521,59,3,9,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,509,683,68,573,763,603,573,60,3,10,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,121,148,74,148,148,148,148,74,1,2,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,164,184,46,173,194,174,173,43,2,4,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,137,158,39,147,168,148,147,37,2,4,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,83,834,119,763,1576,92,763,13,3,7,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,207,442,63,209,650,234,209,33,3,7,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,47,59,14,54,64,54,54,13,3,4,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,30,43,14,38,48,38,38,12,2,3,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,83,102,34,98,106,98,98,32,2,3,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,32,49,12,38,59,39,38,9,2,4,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,59,98,24,94,127,69,94,17,3,4,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,83,94,94,94,94,94,94,94,1,1,Yes
1,4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,237,291,97,246,321,261,246,87,1,3,Yes
1,4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,81,90,90,90,90,90,90,90,1,1,Yes
1,4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,64,74,18,61,77,71,61,17,2,4,No
1,4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,549,728,66,400,839,617,400,56,3,11,Yes
